TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-127034,,Introduction of Lucene jars,Third Party Updates,,,,"Lucene is a full-text search library in Java which makes it easy to add search functionality. The jars below were specifically added to SPM to support the new Contact Log Search feature. This leverages the Lucene Memory Index feature which allows information to be indexed in memory before being searched.

The following jars have been introduced:
* EJBServer/components/core/lib/lucene-analyzers-common-8.11.1.jar
* EJBServer/components/core/lib/lucene-core-8.11.1.jar
* EJBServer/components/core/lib/lucene-highlighter-8.11.1.jar
* EJBServer/components/core/lib/lucene-memory-8.11.1.jar
* EJBServer/components/core/lib/lucene-queries-8.11.1.jar
* EJBServer/components/core/lib/lucene-queryparser-8.11.1.jar 

"
SPM-126979,,Update to certified version of Apple VoiceOver,Third Party Updates,,,,"The certified version of Apple VoiceOver is now updated to iOS 15.7. This is certified against Chrome 110. 
"
SPM-126978,,Update browser plug-in Java? Runtime Environment (JRE) level used in Microsoft Word Integration,Third Party Updates,,,,"The following JRE level for Microsoft Word Integration is supported for this release:
 * JRE 1.8 u361 
"
SPM-126977,,Updates to supported browser versions,Third Party Updates,,,,"The following browser versions are now updated and certified for this release.

Caseworker Application Browser Support
 * Google Chrome is updated to 110
 * Microsoft Edge is updated to 110

Universal Access Application Browser Support
 * Google Chrome is updated to 110
 * Microsoft Edge is updated to 110
 * Mozilla Firefox is updated to 109 
"
SPM-126746,DT036329,Selecting 'Reload Frame' from the person record context panel redirects the user to the login page,CEF,Application Development Environment,Core Development Infrastructure,,"**Issue Description:**
If a user right-clicks on the person record context panel and selects 'Reload Frame' from the pop-up menu, the browser refreshes and the user is redirected to the login page.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Log in to the application.
 # Navigate to a person record.
 # Right-click on the person record context panel and select 'Reload Frame'.
 # Issue: The browser redirects the user to the Login page.

**Resolution:**
When a user right-clicks on the person context panel and selects 'Reload Frame', they are no longer logged out of the SPM application and remain on the page displaying the person record.
"
SPM-126689,DT036289,IEG Application Form produces  Null Pointer Exception when navigating between sections,ENT,Intelligent Evidence Gathering,APIs,,"**Issue Description:**
An IEG application form produces a Null Pointer Exception error when navigating from one section to another via the left panel section navigation if there are disabled sections in between.

**User Interface Impact:** No

**Prerequisite(s):**
An IEG script with the following structure:
 # Section navigation panel enabled (show-sections=""""true"""").
 # The script contains 4 sections: Section A, Section B, Section C, and Section D.
 # Section A contains a question page that is always enabled, with a Question A1 that will be used as criteria to display the Section B and Section C question pages.
 # Section B contains a question page wrapped by a condition that evaluates Question A1 as criteria to display the question page.
 # Section C contains a question page wrapped by a condition that evaluates Question A1 as criteria to display the question page.
 # Section D contains a question page that is always enabled with at least one question.

**Steps to Reproduce:**
 # Start the IEG script.
 # In Section A, question A1 provides an answer that will ensure the question pages of Section B and Section C are not displayed, therefore not enabling the sections.
 # Click Next.
 # Section B and Section C are not displayed, and the navigator jumps to Section D.
 # On the Section D question page, click the left panel navigation to go to Section A.
 # On the Section A question page, click the left panel navigation to go to Section D.
 # Issue: A Null Pointer Exception is displayed and the user cannot navigate to the desired section.

**Resolution:**
This issue is resolved. Disabled sections in an IEG script are now handled properly to avoid a Null Pointer Exception and the user can navigate to previous sections as expected.
"
SPM-126565,,Update the version of the commons-net library to 3.9.0,Third Party Updates,,,,"The Apache Commons Net library contains a collection of network utilities and protocol implementations. Supported protocols include FTP, SMTP(S), Telnet and others. 

The version of the commons-net JAR that is used by SPM has now been updated from 3.6 to 3.9.0. This new JAR file contains some minor bug fixes and enhancements.

As a result of this upgrade, the following changes have been made in the Java Development Environment and Rest deliverables.
 * CuramSDEJlibthird_party_version.properties - the version of the specified commons-net JAR file has been updated.
 * CuramSDEJlibcommons-net-3.9.0.jar - the version of the JAR has been updated.

Note that any references in custom scripts and other artifacts must be updated to point to the new version of the JAR file as specified above.
"
SPM-126546,,Update the version of the xmlgraphics-commons library to 2.8,Third Party Updates,,,,"Apache XML Graphics Commons is a library that consists of several reusable components used by Apache Batik and Apache FOP.

The version of the Apache XML Graphics Commons JAR that is used by SPM has now been updated from 2.4 to 2.8. This new JAR file contains some minor bug fixes and enhancements.

As a result of this upgrade, the following changes have been made in the Java Development Environment deliverable.
 * CuramSDEJlibthird_party_version.properties - the version of the specified XML Graphics Commons JAR file has been updated.
 * CuramSDEJxmlserverxmlgraphics-commons-2.8.jar - the version of the JAR has been updated.

Note that any references in custom scripts and other artifacts must be updated to point to the new version of the JAR file as specified above. 
"
SPM-126535,,Update the version of the snakeyaml library to 1.33,Third Party Updates,,,,"The snakeyaml library provides functionality to parse a YAML file, and convert to Jackson objects.  

The version of the snakeyaml JAR that is used by SPM has now been updated from 1.27 to 1.33. This new JAR file contains some minor bug fixes and enhancements.

As a result of this upgrade, the following changes have been made in the Java Development Environment and Rest deliverables.
 * CuramSDEJlibthird_party_version.properties - the version of the specified snakeyaml JAR file has been updated.
 * EJBServercomponentsRestgraphql_libsnakeyaml-1.33.jar - the version of the JAR has been updated.

Note that any references in custom scripts and other artifacts must be updated to point to the new version of the JAR file as specified above. 
"
SPM-126482,,Update the version of the bcel library to 6.7.0,Third Party Updates,,,,"The Byte Code Engineering Library (Apache Commons BCEL) is intended to give users a convenient way to analyze, create, and manipulate (binary) Java class files (those ending with .class). Classes are represented by objects which contain all the symbolic information of the given class: methods, fields and byte code instructions, in particular. 

The version of the BCEL JAR that is used by SPM has now been updated from 6.1 to 6.7.0. This new JAR file contains some minor bug fixes and enhancements.

As a result of this upgrade, the following changes have been made in the Java Development Environment deliverable.
 * CuramSDEJlibthird_party_version.properties - the version of the specified BCEL JAR file has been updated.
 * CuramSDEJlibbcel-6.7.0.jar - the version of the JAR has been updated.

Note that any references in custom scripts and other artifacts must be updated to point to the new version of the JAR file as specified above.
"
