TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-128390,,"Remove the duplicate LocalizableText screens  ",Code Removal,,,,"A number of UIM, VIM and related property files associated with the Text Translation functionality were duplicated across the 'core' and 'WorkspaceServices' components. The duplicate files present in the 'WorkspaceServices' component have now been removed as part of this release.

For more information about the artifacts that are removed and modified as part of this code removal process, see the //Merative Social Program Management 8.1.0.0 Code Removals// PDF document that is attached to these release notes.

[Merative SPM Code Removals 8.1.0.0|https://curam-spm-devops.github.io/wh-support-docs/pdf/releasenotes/SPM_CodeRemovals_810.pdf]
"
SPM-128333,,"Deprecation of superseded APIs and UIM files related to the introduction of multi locale support for Work Queues, Quick Links, and Organizational Structure functionality",CEF,,,,"As part of the introduction of multi locale support for Work Queue, Quick Link, and Organizational Structure functionality, a number of related APIs have been deprecated as new APIs have been introduced to include locale processing.

These deprecated APIs and those new APIs that have replaced them are listed below.
"
SPM-128307,,Renaming of some of the JAR files contained in the CuramCDEJ deliverable,Third Party Updates,,,,"A number of JAR file names delivered as part of the CuramCDEJ SPM deliverable have been changed to include the version of the JAR file in the name. This is to ensure consistency in the JAR file naming across the SPM deliverable and to allow version identification of the JAR file by examining it's name.

The following changes have been made in the CuramCDEJ deliverable (CuramCDEJlibextjar).
 * ant-contrib.jar renamed to ant-contrib-1.0b2.jar
 * antlr.jar renamed to antlr-3.3.jar
 * commons-beanutils.jar renamed to commons-beanutils-1.9.4.jar
 * commons-collections.jar renamed to commons-collections-3.2.2.jar
 * commons-collections4.jar renamed to commons-collections4-4.1.jar
 * commons-logging.jar renamed to commons-logging-1.2.jar
 * commons-validator.jar renamed to commons-validator-1.6.jar
 * derby.jar renamed to derby-10.12.1.1.jar
 * dom4j.jar renamed to dom4j-2.1.3.jar
 * htmlcleaner2_1.jar renamed to htmlcleaner-2.1.jar
 * taglibs-standard-impl.jar renamed to taglibs-standard-impl-1.2.5.jar
 * taglibs-standard-spec.jar renamed to taglibs-standard-spec-1.2.5.jar

Note that any references in custom scripts and other artifacts to the renamed JAR files listed above must be updated."
SPM-128221,,Deprecate the application properties to disable inline menu action items,CEF,,,,"The following application properties to disable inline menu action items are deprecated.
 * curam.actionmenus.display-inline.enabled.tab
 * curam.actionmenus.display-inline.enabled.page
 * curam.actionmenus.display-inline.enabled.list 

In 8.0.3, these application properties were needed to enable inline menu items on actions menus, but from 8.1 onwards, this behaviour is enabled by default.
"
SPM-128196,DT036696,Evidence Source History displaying values in default server locale instead of the user selected locale,CEF,Dynamic Evidence,Evidence Maintenance,,"**Issue Description:**
When viewing the change history for an evidence record originating from Person or Prospect Person, the Source column displays the value in the default system locale rather than the user selected locale.

**User Interface Impact:** Yes

**Prerequisites:**
 # Log in as a system administrator.
 # Navigate to Property Administration under Application Data in the shortcuts panel.
 # Search for the property ?curam.environment.app.menu.locale.toggle.enabled?.
 # Use the row-level action to edit the value and set it to true. Click Save.
 # Publish the changes.

**Steps to Reproduce:**
 # Log in as a caseworker.
 # Navigate to the Application menu and click Language.
 # Select a language that is different from the default system locale language.
 # Register a new Person and include the Phone Number details.
 # From the Person home page, click the Evidence Tab.
 # Expand the Phone Number details evidence.
 # Select the Change History in-page navigation tab.
 # Issue: The Source column is displaying values in the default system locale. This should appear in the user?s locale.

**Resolution:**
The Change History page now displays the Source values in the user's locale.
"
SPM-128173,DT036703,"Income Support Guided Change wizard is not loading Relationship Details ",CEF,Application Development Environment,Client Development Environment,Widgets,"**Issue Description:**
When a user is adding a household member to the guided evidence wizard, the loading spinner persists indefinitely so that the guided evidence changes cannot be completed.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Login as an Income Support caseworker.
 # Register two people for example AB Smith and AC Smith.
 # For one Person for example AB Smith, create a new Income Support Application for Medical Assistance (enter the required information and submit the case)
 # Open the Income Support Application and then from the Evidence tab action Verify / Apply Changes / Check Eligibility ( Medical Assistance).
 # Open the Income Support Case from the Person Home Page and then select Guided Change and select Add a Member.
 # In step 1 of the wizard enter Participant Details.
 # In step 2 of the wizard enter Personal Information.
 # Issue: On step 3 of the wizard the Relationship Details is not loading.

**Resolution:**
A user can progress through all the steps in Guided Evidence Management wizard. 
"
SPM-128081,,"Update the Entity Relationship Diagram (ERD) with entities that have been added, removed or deprecated in recent SPM releases",CEF,Application Development Environment,,,"**Issue Description:**
Social Program Management uses Entity Relationship Diagrams (ERDs) to illustrate how data is stored and to show dependencies between entities. The Entity Relationship Diagrams are provided in PDF format, however some of the Entity Relationship Diagrams do not reflect the entities that have been added, removed or deprecated in recent SPM releases.

**User Interface Impact:** No

**Steps to Reproduce:** NA

**Resolution:**
The Entity Relationship Diagrams are now updated to reflect entities that have been added, removed and deprecated in recent SPM releases. The following updates have been made:

**ERD-ProviderManagement**
The **Taxonomy** section has been removed to reflect the removal of that feature in SPM. This has also resulted in the following entities being removed:
 * ExtSysClassification
 * ExtSysClassifnElement
 * ExtSysClassifnTermLink
 * POTaxonomyIndexLink
 * POTaxonomyInEditIndex
 * RelatedConcept
 * RelatedConceptElement
 * RelatedConceptNameLink
 * RelatedTermLink
 * TaxonomyGSSSynch
 * TaxonomyImportLog
 * TaxonomyInEditData
 * TaxonomyTerm
 * TaxonomyTermNameLink
 * TaxonomyTermOldCode
 * TaxonomyTermRelatedConcept
 * TaxonomyVersion
 * TaxonomyVersionData
 * UseReference
 * UseReferenceNameLink

The **Contracts** section has been updated to reflect the removal of the following 
CPM Performance Measure entity as this feature has been removed from the product.
* ContractPerformanceMeasure

The **CPM Admin** section has been updated to reflect the removal of the following 
CPM Performance Measure entities as this feature has been removed from the product.
 * PerformanceMeasure
 * PerformanceMeasureLink
 * ScoreOutcome
 * SOPerformanceMeasureLink
 * SOPerformMsrEvalCrtLnk
 * ERD-Infrastructure

The **Generic Search Server** section has been removed to reflect the removal of that feature in SPM. This has also resulted in the following entities being removed:
 * GSSEntity
 * GSSMapperType
 * SearchService
 * SearchServiceField
 * SearchServiceRow
 * SearchSrvcRowExt

A new section called **AutoRecovery** has been added. This has resulted in the following entity being added:
 * AutoRecovery
"
SPM-128074,DT036699,"Wizard titles display the evidence type description in the default system locale instead of the user selected locale ",CEF,Dynamic Evidence,Evidence Maintenance,,"**Issue Description:**

While creating dynamic evidence that uses a wizard such as when the evidence type being created is configured for automatic end-dating or is a parent-child relationship, the wizard step titles and page titles display the evidence type description in the default system locale rather than the locale selected by the user.

**User Interface Impact:** Yes

**Prerequisites:**
# Log in as a system administrator.
# Navigate to Property Administration under Application Data in the shortcuts panel.
# Search for the property ?curam.environment.app.menu.locale.toggle.enabled?.
# Use the row-level action to edit the value and set it to true. Click Save.
# Publish the changes.


**Steps to Reproduce:**
 # Log in as a caseworker.
 # Navigate to the Application menu and click Language.
 # Select a language that is different from the default system locale language.
 # Register a new Person.
 # Click the Evidence tab and select the New page action.
 # On the New Evidence modal, select the Add row-level action for the Phone Numbers evidence.
 # On the New Phone Numbers modal, add the mandatory details.
 # Click Save.
 # Add a second Phone Number.
 # Issue: The wizard displays the wizard step titles and the page titles in mixed locales. The evidence type description appears in the default system locale and the rest of the text appears in the user's locale.

**Resolution:**
The wizard pages now display the evidence type description in the user's selected locale.
"
SPM-128072,,"Multi locale support for Work Queue, Quick Link, and Organizational Structure functionality",CEF,Administration Suite,,,"**Issue Description**
Multiple locales are now supported for fields which previously supported a single locale.
The capture and storage of the 'name' field for the following SPM database tables now supports multiple locales
 * Work Queue
 * Quick Link
 * Organisation Structure
 * Organisation Unit
 * Announcement
 * Slot
 * Location
 * Job
 * Position

Similarly, the 'comments' field on the Announcement database table now supports multiple locales

**Updates for v8.1**
A new column has been added to the database tables listed above to store the primary key of a LocalizableText record. The text added to each required locale for each field will be stored in the associated TextTranslation table.

This change requires migrating the existing data in those fields. A new batch process has been provided for this purpose called 'FieldLocalizationUpgradeBatch'. Full details of how to run this batch job and the associated data migration can be found in the chapter entitled 'TODO' in the //Upgrade Helper Guide//.
"
SPM-128051,"DT036706 ",Error Messages appending 'Date' to field name of date fields,CEF,,,,"**Issue Description:**
When infrastructure, page-level validations occur referring to editing a Date Time field, these append ' Date' to the field's name. When this suffix is set to blank, controlled by property 'dateTimeSelector.date' within 'DateTimeSelector.properties', a space character is incorrectly appended to the field's name.

**User Interface Impact:** Yes

**Steps to Reproduce:**
 # Add 'webclient/components/custom/DateTimeSelector.properties'.
 # Set 'dateTimeSelector.date' to blank within this.
 # Rebuild the client and start up the application.
 # Log in as caseworker.
 # Open Inbox.
 # Select New Task from actions menu.
 # Enter 123 in the date field for Deadline.
 # Press Save.
 # Issue: Validation states """"The field 'Deadline ' is not valid.""""

**Resolution:**
The validation now states """"The field 'Deadline' is not valid."""" 
"
